,PC1,PC2,PC3
NCT,-0.006263802379438524,0.09410714764018291,0.09392859736193576
NHA,0.07059071082446094,0.00043016903627341835,-0.036980158887491114
NHH,0.052658457749866855,0.062804912905465,-0.04378857727186615
NKG,0.06886050763647848,0.011916349409055022,0.0433907984233367
NLG,0.06813059738760209,0.029164985167248747,-0.010453582750843429
NNC,0.056252431634806935,0.022830351782827503,-0.11356096929800817
NSC,0.05929798675424258,-0.024432699051765292,0.08983631998443925
NT2,-0.039474683431851426,0.035697539270367395,-0.07087237028722965
NTC,0.04794878111182509,0.08470094432828389,0.05890250371342274
NTL,0.06918700090908084,-0.020253845114527113,0.011648351623251804
NVL,0.057337365573289216,-0.06401718152601092,0.06272169635064404
NVT,0.06486807058766998,-0.04371432967932297,0.03649267851639324
OCB,0.055046056812944374,0.06383053446744236,-0.05769959994926619
OGC,0.0446302705410486,-0.0667811993664913,0.07825255303869577
OPC,0.009673320829297895,-0.00355406454307699,-0.025507578020590938
ORS,0.06564612617817056,0.048887408023477893,0.003407558011581142
PAC,0.043233901095901375,-0.07721099745599701,-0.03490593789465414
PAN,0.07023135311113089,0.014209399742019646,-0.011616448327997226
PC1,0.054353627144956236,0.03452088456797002,0.0639862748612841
PDR,0.06570479339985402,-0.031004082254216553,0.05793373462491553
PDV,-0.025390366795850425,0.07210121452008779,-0.0897174788409769
PET,0.06689124070515629,0.016305000169862287,0.04626079321226214
PGC,0.05823431447603252,-0.07015200992799157,0.009486971216942424
PGD,0.009331464125065886,0.11275670169958693,-0.005087166462109401
PGV,0.06786936709645204,0.024674165940031,-0.00456637019428283
PHC,0.06454297804627,0.012630373442336541,-0.01263918681279723
PHR,0.07091945587572342,-0.003509795517381947,0.01451807436774746
PIT,0.058320727697201105,0.036093882470834324,0.009459467499837726
PLP,0.061936952618231685,-0.04873725123268135,0.037628874431200846
