,PC1,PC2,PC3,PC4,PC5,PC6
NCT,-0.006263802379438825,0.09410714764018385,0.09392859736040014,0.05496462510520673,0.12010093069584346,0.09545420611352315
NHA,0.0705907108244609,0.0004301690362733394,-0.036980158886357015,0.006553079249551455,-0.001765937158515522,-0.029398424024572243
NHH,0.05265845774986663,0.0628049129054648,-0.043788577263925314,-0.08605440137086137,-0.05116236880005901,-0.017656584551187744
NKG,0.06886050763647839,0.011916349409055641,0.04339079842357501,-0.029137824096438166,-0.010552462299937138,0.017535713624962437
NLG,0.06813059738760194,0.029164985167248834,-0.010453582750654179,0.0034971282069773987,-0.04708560115906367,0.009226669457472938
NNC,0.05625243163480684,0.022830351782826757,-0.11356096929945415,-0.08449447337552778,-0.021389144931176586,-0.0014380974092063272
NSC,0.059297986754242624,-0.02443269905176432,0.08983631997954285,0.04025281682365488,-0.046607971317379274,0.0529373308656068
NT2,-0.039474683431851544,0.03569753927036664,-0.0708723702900877,0.15413803816520158,0.07670857006402095,0.13298152825483894
NTC,0.04794878111182481,0.08470094432828461,0.05890250371614419,-0.005520168204055301,0.03842315884886767,-0.04332772038550959
NTL,0.06918700090908084,-0.020253845114526797,0.011648351622082342,-0.045316020693481125,0.040551315959055846,0.026249795433309898
NVL,0.057337365573289396,-0.06401718152601026,0.06272169634844124,-0.028353701342014738,0.06785604765880063,-0.006643605358339421
NVT,0.06486807058767005,-0.04371432967932245,0.03649267851758257,0.03999109245678705,-0.009386265864434263,0.02290114805893457
OCB,0.05504605681294418,0.06383053446744201,-0.05769959994614923,-0.0641149100651372,-0.07514517418499847,0.014085504837977554
OGC,0.04463027054104877,-0.06678119936649039,0.07825255303228185,0.07475970024746106,0.024771388925614576,0.07974948169232272
OPC,0.0096733208292979,-0.003554064543077452,-0.025507578017813986,0.012535135458941396,-0.02758445417858863,0.16680773378059552
ORS,0.0656461261781704,0.048887408023478074,0.003407558011405041,0.003924914700601681,-0.02352061525971297,-0.03879565109919008
