,PC1,PC2,PC3,PC4
PVT,0.017610194868417663,0.11151790794001676,0.012464998610167649,-0.019711433494348046
QCG,0.05578722948716936,0.06406789524362336,-0.006617245021933081,-0.0006482181758915331
REE,-0.004727519920290455,-0.057582397166859194,0.1355691787763779,0.13981033995323058
SAB,0.010230066067211436,-0.106857562312554,-0.06442719616616326,0.009475590134084786
SAM,0.06257574740217518,-0.051760793426488816,0.056497526268325986,0.027223390443586775
SAV,0.06968116280169814,0.0033234051255319405,-0.03151537810351513,-0.04166573522505435
SBA,-0.037389514617972866,0.08466455759516245,0.06737418000669718,-0.012992995809740582
SBT,0.06648121107868782,0.0029278285787333914,-0.06236181967761658,0.05239614135576086
SBV,0.06071335118581244,-0.05956959441154065,0.021627509008098015,-0.06538346942450816
SCR,0.06755056210115161,-0.012500837083060589,0.007313403352172874,0.08052896084340687
SCS,0.06408438420723539,-0.043837243966021545,0.03574370859537861,-0.04659896509299805
SFG,0.06870072573514638,-0.028512845961345862,-0.010487687726866847,-0.04799065840578723
SFI,0.06441514555444837,-0.02116386077702869,0.0026135962615233743,0.06374806828972064
SGN,0.04125529378453705,0.057314011261270684,-0.05162707646155032,0.11822987749011081
SGR,0.05374158736127755,0.05889733124600674,-0.0744320485585201,0.05252698457153608
SGT,0.06785458503642235,-0.028702101007604414,0.004101216266313218,0.02514149070388932
SHA,0.06700963878517184,0.016323728674945148,0.04038751461730802,0.016115746564713197
SHB,0.061279219722516494,0.05721962367675283,-0.023561103027364656,0.021918266374531207
SHI,0.017766474164917386,-0.03532444872407021,-0.05647171423081841,-0.16225453607483484
SHP,-0.003810262933661064,0.10907618163788646,0.09961467134897563,-0.029304980610533837
SIP,0.03579938500221019,0.0965606546160244,0.06840667335920114,-0.008444955918248577
SJD,0.06531534263184872,-0.0021485718229330444,0.07499398873703288,-0.037838231770957464
SJS,0.0634266763984511,0.015144287753772006,0.07255210970982061,-0.08942225433142116
SKG,0.05044071153679522,-0.00621153473753525,-0.06570889728157381,0.12031477442427461
SMB,0.052390503405259053,-0.04592810308251034,-0.034089776836982624,-0.1249027971824397
SMC,0.06886546314288823,-0.033886912801416806,0.00044520270993964593,0.029907491609088364
SRC,-0.016901342096151253,0.09917805474597009,0.024116396485037953,-0.11384106149648446
SSB,0.05415544918057244,-0.044459302970779914,-0.09351284183714682,-0.012419288143870496
SSI,0.062376603331443306,0.05865669988633791,-0.025155988562171893,-0.04906867133943577
ST8,-0.026493633397248233,0.07060305836431395,-0.006646771868594497,0.19606320316218692
STB,0.031565381742208666,0.09538483184916162,-0.09496068735293968,0.029706752583008363
SVD,0.05947207013666838,-0.06016604545403746,0.024198556654423255,0.07409130123476967
SVT,0.06894113877726393,0.0036167169173050035,-0.03336968265963682,-0.020831008731419364
SZC,0.0655923517419861,0.04511089274975843,0.005675903721801075,-0.05530268587754152
